192.168.224.0;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.1;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.2;;up;;;3C:DF:1E:B1:BA:40;Cisco
192.168.224.3;;up;;;9C:4E:20:6A:5D:40;Cisco
192.168.224.4;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.5;;up;2012/08/22 06:15:57;;F0:7D:68:FB:A8:63;D-Link
192.168.224.6;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.20;;up;;;00:26:5A:85:AA:3A;D-Link
192.168.224.21;;up;;;00:21:91:99:7F:66;D-Link
192.168.224.22;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.23;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.24;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.26;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.27;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.28;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.29;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.30;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.31;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.32;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.33;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.34;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.35;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.36;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.37;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.38;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.39;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.40;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.41;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.42;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.43;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.44;;up;;;00:50:E8:00:8A:4D;NOMADIX
192.168.224.45;;up;;;00:11:BB:1B:B2:CE;Cisco
